ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Total Marks(x/30)
102383060,0,3,4,0,2,5,4,4,5,5,0,0,32,21.3
102102003,0,0,0,3,1,0,0,4,4,0,4,2,18,12.0
102102005,0,0,3,5,3,3,0,0,5,0,5,2,26,17.3
102102018,0,0,0,4,2,5,4,4,5,0,4,3,31,20.7
102103686,5,5,0,0,3,3,3,4,5,4,3,3,35,23.3
102203004,5,3,4,5,1,5,4,4,5,5,5,5,43,28.7
102203009,5,3,3,5,2,4,0,4,4,5,5,0,38,25.3
102203016,4,3,5,4,0,2,2,3,4,3,5,4,35,23.3
102203018,5,5,3,5,0,3,3,4,5,4,5,5,41,27.3
102203024,0,1,3,5,3,5,3,5,4,5,5,5,40,26.7
102203029,4,3,4,4,4,4,3,4,0,5,5,5,39,26.0
102203060,5,4,0,5,4,4,5,4,5,5,5,4,42,28.0
102203072,5,4,4,4,2,3,2,3,5,5,5,0,38,25.3
102203081,5,3,5,5,3,5,5,4,5,5,5,5,45,30.0
102203087,4,4,4,5,4,0,4,4,0,5,4,4,38,25.3
102203088,5,3,2,3,4,5,4,4,4,5,5,4,40,26.7
102203103,5,4,3,4,4,5,0,4,5,5,5,5,42,28.0
102203123,5,3,5,4,4,3,5,4,5,5,5,5,43,28.7
102203124,4,3,5,0,4,0,3,2,0,0,0,5,26,17.3
102203128,5,5,4,3,1,3,3,5,4,5,4,5,40,26.7
102203144,0,0,0,4,5,4,5,0,5,5,4,5,37,24.7
102203145,0,0,3,0,4,5,5,1,5,5,5,5,38,25.3
102203146,5,5,5,5,3,5,0,4,5,5,5,5,45,30.0
102203147,3,2,4,3,3,0,2,4,5,4,5,3,34,22.7
102203148,4,4,5,4,5,5,4,5,5,5,5,5,44,29.3
102203149,5,2,5,4,5,5,3,4,5,5,3,5,43,28.7
102203171,5,4,5,4,4,4,0,4,5,5,4,0,40,26.7
102203178,5,4,4,4,4,2,4,3,3,5,4,0,37,24.7
102203180,5,4,3,5,2,4,0,5,5,4,5,5,42,28.0
102203203,5,2,4,0,1,5,2,0,4,4,5,3,34,22.7
102203204,4,4,0,4,4,0,4,1,5,5,5,5,40,26.7
102203210,5,4,5,5,0,5,0,4,5,4,5,4,42,28.0
102203218,5,2,5,4,1,5,4,2,0,5,4,5,39,26.0
102203219,5,3,5,5,4,4,2,4,5,5,5,5,43,28.7
102203221,5,3,5,5,4,4,3,5,0,5,5,5,43,28.7
102203224,0,4,4,5,4,0,0,4,0,5,0,0,26,17.3
102203227,5,0,4,4,2,5,5,4,4,5,5,2,41,27.3
102203245,0,4,4,5,4,3,3,2,4,5,4,3,36,24.0
102203290,5,4,5,0,4,5,0,5,4,5,5,0,42,28.0
102203297,4,4,4,5,2,4,5,4,5,5,5,5,42,28.0
102203306,5,3,5,5,4,4,5,5,5,5,4,5,44,29.3
102203311,5,5,3,4,3,4,5,5,5,5,5,0,43,28.7
102203324,5,4,0,5,3,5,3,0,5,5,5,4,41,27.3
102203342,5,4,3,5,2,5,2,4,0,5,5,5,41,27.3
102203346,5,4,4,4,4,5,5,4,4,0,5,3,40,26.7
102203355,5,4,0,5,2,4,0,0,5,5,5,0,35,23.3
102203370,4,3,0,5,5,5,4,3,0,5,0,1,35,23.3
102203374,5,2,5,5,5,4,0,0,5,0,5,3,39,26.0
102203381,5,3,4,5,5,5,0,5,4,5,4,5,43,28.7
102203382,4,4,5,5,3,4,0,5,4,5,4,5,41,27.3
102203407,4,3,4,4,4,5,4,4,4,5,4,5,39,26.0
102203418,4,5,4,5,2,4,4,4,5,5,4,0,40,26.7
102203422,0,3,4,4,5,4,0,5,5,5,4,5,41,27.3
102203432,4,2,3,4,0,4,0,4,5,5,5,4,38,25.3
102203435,4,3,5,4,1,4,0,5,5,5,4,0,39,26.0
102203442,3,5,5,5,4,3,4,5,5,4,5,5,43,28.7
102203445,5,4,4,4,5,5,5,4,4,5,5,5,43,28.7
102203453,5,3,5,5,3,5,0,5,5,5,4,5,44,29.3
102203464,5,3,3,4,3,4,4,5,5,5,5,5,42,28.0
102203467,5,5,4,0,0,5,3,5,5,4,5,5,43,28.7
102203472,4,3,5,5,4,4,4,4,0,5,5,5,41,27.3
102203474,5,5,4,4,4,4,3,5,0,5,5,5,42,28.0
102203489,3,3,4,5,5,5,4,4,4,5,5,4,41,27.3
102203515,5,2,5,4,3,4,0,5,5,0,5,5,41,27.3
102203517,5,4,4,5,4,5,0,5,0,5,4,5,42,28.0
102203518,5,3,5,4,2,3,3,3,4,5,4,2,36,24.0
102203519,5,0,3,3,3,4,4,3,5,5,5,4,38,25.3
102203520,5,3,4,5,4,5,0,4,5,5,4,5,42,28.0
102203521,5,4,0,5,2,5,5,4,5,5,0,3,41,27.3
102203527,4,3,5,5,3,5,4,4,5,5,5,5,43,28.7
102203540,5,4,5,4,3,4,2,0,5,5,4,0,39,26.0
102203550,5,3,5,5,3,5,4,5,4,5,5,5,44,29.3
102203552,5,3,3,4,2,0,4,4,5,5,4,5,39,26.0
102203557,0,3,4,4,3,5,4,4,5,5,4,4,39,26.0
102203563,4,3,5,5,3,3,5,5,5,5,5,5,44,29.3
102203590,4,4,5,5,4,5,3,0,0,0,5,5,40,26.7
102203591,4,3,4,0,4,5,3,4,5,5,5,0,39,26.0
102203599,5,2,5,4,4,4,4,5,5,5,4,5,42,28.0
102203600,5,3,4,4,0,4,0,3,4,5,5,0,37,24.7
102203605,0,0,0,0,0,3,0,3,0,5,5,5,21,14.0
102203619,5,4,5,5,3,4,3,4,5,5,4,2,41,27.3
102203628,5,4,3,5,4,5,5,5,5,5,4,5,44,29.3
102203634,4,3,4,4,5,5,3,3,5,5,5,2,40,26.7
102203640,4,3,5,5,2,4,3,5,5,5,4,5,42,28.0
102203644,0,3,3,4,3,4,4,5,5,5,4,5,39,26.0
102203645,3,3,3,3,4,5,0,4,5,0,0,3,33,22.0
102203650,5,3,5,0,3,5,2,5,0,0,5,4,37,24.7
102203658,5,3,5,4,4,4,4,4,5,5,3,5,41,27.3
102203664,4,2,4,4,3,0,3,4,5,5,3,5,37,24.7
102203666,4,3,3,5,4,4,3,0,0,5,5,0,36,24.0
102203668,5,2,4,4,2,5,4,4,5,5,5,0,41,27.3
102203670,4,4,3,4,5,4,2,5,0,5,4,5,40,26.7
102203677,4,0,5,5,2,4,3,4,0,5,5,0,37,24.7
102203700,5,4,3,5,1,4,3,5,4,5,4,5,41,27.3
102203709,4,2,5,3,2,3,2,5,5,5,5,5,40,26.7
102203716,5,4,5,5,3,5,3,4,5,0,5,2,41,27.3
102203721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102203724,5,5,4,5,2,5,5,4,4,5,4,2,42,28.0
102203748,5,2,5,4,2,4,4,4,5,5,5,2,41,27.3
102203751,5,3,4,4,4,4,4,2,5,4,5,3,39,26.0
102203775,5,1,0,5,3,5,5,4,5,4,4,4,41,27.3
102203779,2,0,0,5,4,4,3,5,4,5,5,5,40,26.7
102203781,5,2,0,5,3,5,4,4,4,5,5,5,42,28.0
102203794,5,4,4,4,3,0,4,4,5,5,5,5,41,27.3
102203803,4,4,5,5,4,4,0,4,5,4,5,5,41,27.3
102203811,5,4,5,3,3,4,4,4,5,4,5,3,40,26.7
102203814,5,3,4,0,3,5,3,5,5,5,5,5,42,28.0
102203836,5,4,5,4,2,5,3,5,5,5,4,5,43,28.7
102203837,5,3,5,4,2,5,5,5,5,5,4,5,44,29.3
102203839,5,3,4,0,3,5,4,4,5,5,4,5,41,27.3
102203844,5,3,4,5,3,3,0,3,5,5,4,5,39,26.0
102203845,5,4,4,4,5,5,5,4,5,5,5,5,44,29.3
102203850,5,5,4,3,3,5,0,4,5,5,5,0,41,27.3
102203868,0,3,5,4,3,2,3,4,5,5,5,5,39,26.0
102203878,5,3,4,5,3,2,1,4,4,5,3,5,38,25.3
102203879,5,3,3,5,2,3,4,5,4,0,0,5,37,24.7
102203880,5,5,5,5,3,4,0,4,0,5,5,4,42,28.0
102203885,5,3,0,5,4,3,2,5,0,0,3,5,35,23.3
102203900,0,4,5,5,3,4,4,4,5,5,5,5,42,28.0
102203909,5,4,5,4,3,4,3,5,5,5,0,4,41,27.3
102203910,5,4,4,4,3,5,5,4,3,5,0,5,41,27.3
102203918,0,5,5,5,4,0,5,3,0,5,5,5,42,28.0
102203958,5,4,5,4,4,4,5,5,5,5,5,5,44,29.3
102203960,5,1,4,4,5,4,0,3,5,0,5,4,39,26.0
102203968,5,5,3,5,2,4,3,3,0,5,4,5,39,26.0
102203973,0,3,3,2,1,4,4,1,0,0,4,1,23,15.3
102203976,5,0,0,0,0,0,0,0,0,0,5,0,10,6.7
102203981,0,4,5,5,3,1,2,4,4,0,5,0,33,22.0
102203984,5,4,4,5,4,4,5,4,4,4,4,5,40,26.7
102203997,4,3,5,4,3,4,4,3,5,5,4,5,40,26.7
102203998,0,4,5,5,4,0,3,3,5,5,4,5,40,26.7
102213001,5,4,4,4,4,4,3,5,0,4,0,5,39,26.0
102213005,5,2,3,5,3,5,4,5,5,5,0,5,42,28.0
102213006,4,4,5,5,3,4,3,4,5,5,4,5,41,27.3
102213009,5,3,4,5,2,4,5,5,5,5,0,5,43,28.7
102213013,0,3,3,4,2,5,1,3,5,5,4,5,37,24.7
102213014,0,0,0,5,4,0,2,3,5,5,4,3,31,20.7
102213015,0,4,5,4,2,5,5,3,5,5,5,4,42,28.0
102213017,4,3,4,4,2,5,4,5,5,5,5,5,42,28.0
102213018,5,0,4,5,5,4,4,4,5,5,5,5,43,28.7
102213019,4,4,5,5,3,5,3,4,5,5,5,5,43,28.7
102213026,5,4,4,4,4,5,0,5,0,5,4,0,40,26.7
102233001,5,3,4,5,2,5,4,4,5,5,5,5,43,28.7
102253002,5,3,4,5,1,5,0,5,5,5,5,5,44,29.3
102253006,0,4,3,5,0,4,2,5,5,5,4,5,40,26.7
102253007,4,3,5,5,4,4,2,4,5,5,4,5,41,27.3
102383032,5,4,0,5,4,4,0,4,0,5,4,0,35,23.3
102383036,5,3,4,3,4,0,3,5,5,5,5,5,41,27.3
102383039,5,3,5,4,2,0,1,4,5,5,4,3,38,25.3
102383049,4,4,5,5,4,5,3,4,5,5,4,3,41,27.3
102383059,2,2,4,5,5,0,5,4,5,5,5,2,40,26.7
102383062,5,4,0,5,3,4,0,3,4,5,4,5,39,26.0
102383067,5,2,3,4,3,5,2,5,0,5,5,5,40,26.7
102383071,5,3,5,4,3,3,4,5,4,5,5,5,42,28.0
102383081,5,3,3,0,4,0,0,5,0,5,5,3,33,22.0
102383083,0,0,3,0,5,0,4,0,0,4,5,3,24,16.0
